WGS84 UTM 32N
363001 5715494
94.14024954196066 -5.117049425840378 115.5
-83.90634485473856 -67.32462930027395 116.14
63.03492025611922 40.427664001472294 117.25
-81.50878877320793 -22.639039129950106 117.0
50.57474396226462 -3.8190175043419003 115.54
-60.152055288199335 -0.9482793919742107 116.39
-126.1050089901546 23.20704227220267 116.53
36.72734504810069 -70.5873026009649 117.9
6.436285522533581 19.670720480382442 117.22
113.54953115654644 -72.65118175931275 117.46
-139.99418550072005 -33.56297342199832 117.66
64.3367857215344 85.0996136572212 119.49
46.967595858848654 -70.84867358207703 117.43
-85.17754073278047 22.087053163908422 116.94
-101.6668382541975 44.953325003385544 118.08
-15.78524739824934 20.25929643213749 117.78
115.13330173073336 61.31608705595136 118.35
83.65897012746427 17.508946185931563 116.52
122.23287961492315 66.79959009867162 117.64
-73.0061472041416 -67.61337322741747 116.55
-94.88375554495724 -44.619899678975344 117.42
-106.81022370315623 -66.73884605802596 115.99
129.8181820132886 -51.04473496507853 116.44
115.86065446335124 16.663504341617227 116.42
-49.2583750061458 65.95534194074571 119.27
-139.26680591277545 -43.69379375781864 117.85
-104.16361540404614 67.28330776188523 118.83
124.82630173116922 -50.58839365001768 116.32
17.76057580311317 19.330510853789747 117.24
105.34115651645698 -27.77482805866748 115.58
-137.99273061996792 1.0252959271892905 117.3
27.837842040520627 63.77137800026685 119.33
-114.97283816640265 0.6093223849311471 116.46
-27.418590426328592 -1.7224612552672625 115.5
-61.78872632153798 -45.567905633710325 117.38
62.66093669494148 -26.56883495207876 116.19
-7.531581462477334 -47.04475355055183 117.09
-89.87614589656005 44.624979469925165 118.0
-49.095929101109505 -1.2350143836811185 115.86
49.49027556524379 18.48195295780897 116.56
-129.77669493982103 66.1002202667296 118.57
86.07466780685354 84.58627029787749 118.83
123.18449034332298 -60.809700784273446 117.25
-28.742057186434977 -68.81387487519532 117.12
-117.64790819445625 -66.41771867126226 116.17
31.10359200264793 41.365055195987225 117.25
-39.41492765035946 -46.163880416192114 116.9
91.31350436841603 -49.70450562238693 116.26
-82.43761071993504 66.82520703412592 118.64
58.73179331701249 -48.79301377385855 116.12
3.937951820960734 -69.65748529043049 117.57
-14.345595111954026 -24.43734520673752 116.1
58.63662303611636 -71.19810190796852 117.49
-104.7211671952391 22.76738918107003 116.51
24.5522682875162 -70.21795963868499 117.81
6.092065823962912 -2.6750956010073423 115.57
-113.17735460016411 45.24320365488529 118.15
-93.12889639590867 67.13615091703832 118.71
37.31610961543629 -48.23883053846657 116.24
-81.73684556456283 -0.24372547585517168 115.97
-68.88286400178913 44.063123104162514 117.68
117.4949509218568 -28.072310232557356 115.55
82.1558082777774 62.30924995522946 118.7
-37.60300047049532 20.82159210368991 117.84
-84.8277428818401 -44.92601198237389 117.42
18.669547467317898 -25.484678599983454 116.41
8.48398959392216 41.90246846340597 117.5
-102.71549302397761 -22.123916417360306 117.17
-28.3987060834188 -46.43403080571443 116.85
15.53522102261195 -47.656135260127485 116.64
97.01124679879285 39.39811768941581 116.79
-122.81435044563841 45.581314717419446 118.4
68.94884252198972 -71.43355348426849 117.33
52.923764674924314 40.75352778378874 117.16
60.02677178464364 62.891910741105676 119.74
-106.57189060526434 -44.26650685630739 117.46
-26.596544159692712 -24.17092129122466 115.98
3.5930961079429835 -47.29303819220513 116.87
83.84237824298907 -27.162951733916998 116.09
-3.171054852195084 42.26091906521469 117.55
-126.69655015342869 -66.18208521045744 116.17
-69.62237285956508 -22.923553550615907 117.0
17.000658975855913 -3.004063908010721 115.45
82.95289853855502 -4.7683492340147495 115.47
28.360394535411615 -25.687960352748632 116.44
-93.15775028942153 -0.055238110944628716 115.91
-126.2560764887603 67.93688939418644 118.57
107.32255729817552 83.26092688366771 118.0
-3.727927887812257 -24.770852625370026 115.96
-104.22525910055265 0.30917973536998034 116.14
-71.26012039207853 66.47331033926457 118.66
60.911305451299995 18.157771607860923 116.45
-58.471043737838045 -23.324163747020066 116.91
48.67379698436707 63.16480056848377 119.72
-28.02358444809215 65.28201876487583 119.22
