"filename", "language", "Markdown", "JSON", "comment", "blank", "total"
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53/details.md", "Markdown", 380, 0, 0, 6, 386
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53/diff-details.md", "Markdown", 9, 0, 0, 6, 15
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53/diff.md", "Markdown", 12, 0, 0, 7, 19
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53/results.json", "JSON", 0, 1, 0, 0, 1
"/home/jklasen/A-DRZ/argus/stella_vslam_dense_argus/.VSCodeCounter/2024-09-12_15-25-53/results.md", "Markdown", 122, 0, 0, 7, 129
"Total", "-", 523, 1, 0, 26, 550
